"","Target","Age","Smstr1.GPA","Smstr2.GPA","GPA","Gender","Mart.Stat","Nationality","Mom.Ed","Mom.Occp","Dad.Ed","Dad.Occp","Course","Admission.Grade","Scholarship","Age.Group","Grade"
"20","Graduate",18,3.26,3.4,3.33,0,1,1,1,5,19,5,9500,129.1,0,"A_yng_adults","B+"
"21","Graduate",18,3.73,3.73,3.73,0,1,1,38,7,38,10,9500,139.8,0,"A_yng_adults","A-"
"22","Enrolled",18,0,0,0,0,1,1,38,4,37,9,171,115.2,0,"A_yng_adults","F"
"23","Graduate",18,3.28,3.06,3.17,0,1,1,19,9,19,9,9500,114.9,0,"A_yng_adults","B"
"24","Enrolled",18,0,0,0,1,1,1,38,5,37,5,9147,134,0,"A_yng_adults","F"
"25","Dropout",18,2.92,3,2.96,1,1,1,38,5,37,7,9254,111.7,0,"A_yng_adults","B-"
"26","Graduate",18,3.08,3.08,3.08,1,1,1,38,9,38,9,9773,132.9,0,"A_yng_adults","B"
"27","Dropout",18,2.58,2.71,2.64,1,1,1,19,4,19,7,9147,115.5,0,"A_yng_adults","C+"
"28","Enrolled",18,3,2.83,2.92,1,1,1,19,4,19,4,9254,125.5,0,"A_yng_adults","B-"
"29","Enrolled",18,2.5,0,1.25,1,1,1,38,9,19,6,9119,112.2,0,"A_yng_adults","D"
"30","Graduate",18,3.42,3.33,3.38,0,1,1,37,5,1,5,9773,124.9,0,"A_yng_adults","B+"
"31","Graduate",18,3.44,3.62,3.53,0,1,1,37,7,37,7,9500,120.3,1,"A_yng_adults","B+"
"32","Graduate",18,3.46,3.75,3.6,0,1,1,37,6,37,7,9238,136.1,0,"A_yng_adults","B+"
"33","Enrolled",18,3.25,2.75,3,0,1,1,1,4,38,7,9147,115.3,1,"A_yng_adults","B"
"34","Graduate",18,3.17,3.14,3.16,0,1,1,1,4,38,7,9773,157,0,"A_yng_adults","B"
"35","Dropout",18,3.13,3.13,3.13,0,1,1,37,9,37,9,9500,131,0,"A_yng_adults","B"
"36","Graduate",18,3.29,2.85,3.07,0,1,1,37,9,38,7,9085,137,0,"A_yng_adults","B"
"37","Graduate",18,3.15,3.5,3.33,0,1,1,2,4,19,5,9147,121.8,0,"A_yng_adults","B+"
"38","Enrolled",18,3.2,3.35,3.28,0,1,1,19,9,38,3,9853,145.3,1,"A_yng_adults","B"
"39","Graduate",18,3.25,3.42,3.34,0,1,1,1,5,39,3,9238,122.6,0,"A_yng_adults","B+"
"40","Dropout",18,3.31,3.44,3.38,0,1,1,19,5,19,8,9500,124.9,1,"A_yng_adults","B+"
"41","Graduate",18,3.08,3.25,3.16,0,1,1,37,9,37,9,9070,123.7,0,"A_yng_adults","B"
"42","Graduate",18,3.71,3.71,3.71,0,1,1,1,141,1,175,9773,157.9,1,"A_yng_adults","A-"
"43","Graduate",18,4.28,4.4,4.34,0,1,1,19,4,1,8,9500,174.7,0,"A_yng_adults","A"
"44","Graduate",18,3.34,3.54,3.44,0,1,1,3,2,19,10,9147,128.8,0,"A_yng_adults","B+"
"45","Enrolled",18,0,0,0,0,1,1,3,2,37,8,171,121.7,0,"A_yng_adults","F"
"46","Enrolled",18,3.08,2.71,2.9,0,1,1,38,7,38,6,9853,124.7,0,"A_yng_adults","B-"
"47","Graduate",18,3.33,2.95,3.14,0,1,1,37,9,37,9,9853,132.8,0,"A_yng_adults","B"
"48","Graduate",18,2.65,2.95,2.8,0,1,1,38,9,38,9,9147,126.5,1,"A_yng_adults","B-"
"49","Graduate",18,3.06,2.96,3.01,0,1,1,1,7,37,9,9238,127.4,1,"A_yng_adults","B"
"50","Graduate",18,3.21,3.19,3.2,0,1,1,19,9,37,7,9500,123.9,1,"A_yng_adults","B"
"51","Graduate",18,3.73,3.84,3.79,0,1,1,19,9,19,9,9500,125.8,0,"A_yng_adults","A-"
"52","Enrolled",18,2.92,3.38,3.15,0,1,1,37,9,37,9,9670,123,1,"A_yng_adults","B"
"53","Dropout",18,3.1,2.6,2.85,0,1,1,37,9,19,5,9853,133,0,"A_yng_adults","B-"
"54","Graduate",18,3.26,3.26,3.26,0,1,1,38,9,1,4,9500,129,1,"A_yng_adults","B"
"55","Graduate",18,3.06,3.06,3.06,0,1,1,38,9,38,8,9500,129.8,0,"A_yng_adults","B"
"56","Graduate",18,3.23,3.23,3.23,0,1,1,37,5,37,5,9500,122.8,0,"A_yng_adults","B"
"57","Graduate",18,3.14,3.61,3.38,0,1,1,19,3,19,8,9853,131.8,0,"A_yng_adults","B+"
"58","Graduate",18,3.08,3.08,3.08,0,1,1,19,7,19,7,9500,129.5,0,"A_yng_adults","B"
"59","Graduate",18,2.79,2.81,2.8,0,1,1,19,9,37,8,9238,116.5,1,"A_yng_adults","B-"
"60","Graduate",18,2.75,2.69,2.72,0,1,1,34,0,34,0,9238,119.1,0,"A_yng_adults","B-"
"61","Graduate",18,3.23,3.23,3.23,0,1,1,19,9,38,9,9500,126.5,0,"A_yng_adults","B"
"62","Graduate",18,3.46,3.54,3.5,0,1,1,3,1,19,4,9773,149.8,1,"A_yng_adults","B+"
"63","Graduate",18,3.16,3.16,3.16,0,1,1,38,7,1,4,9500,128.3,1,"A_yng_adults","B"
"64","Graduate",18,3.23,3.23,3.23,0,1,1,37,9,37,9,9500,136,1,"A_yng_adults","B"
"65","Graduate",18,3.25,3.08,3.16,0,1,1,38,7,38,7,9147,147,1,"A_yng_adults","B"
"66","Dropout",18,2.81,3.12,2.96,0,1,1,1,3,1,3,9254,117.5,0,"A_yng_adults","B-"
"67","Graduate",18,3.21,3.17,3.19,0,1,1,1,4,37,5,9254,123.6,0,"A_yng_adults","B"
"68","Graduate",18,3.35,3.29,3.32,0,1,1,19,5,19,7,9853,141.7,1,"A_yng_adults","B+"
"69","Graduate",18,2.83,2.89,2.86,0,1,1,37,3,37,9,9238,119.7,1,"A_yng_adults","B-"
"70","Graduate",18,3.31,3.54,3.42,0,1,1,19,9,1,8,9670,123.4,1,"A_yng_adults","B+"
"71","Dropout",18,3.75,3.21,3.48,0,1,1,38,7,37,7,9773,127.2,1,"A_yng_adults","B+"
"72","Enrolled",18,2.75,0,1.38,0,1,1,37,9,37,8,9773,123.2,0,"A_yng_adults","D+"
"73","Graduate",18,3.1,2.7,2.9,0,1,1,1,4,1,4,9147,124.1,0,"A_yng_adults","B-"
"74","Enrolled",18,2.96,3.12,3.04,0,1,1,37,9,37,9,9070,110.8,0,"A_yng_adults","B"
"75","Graduate",18,3.5,3.5,3.5,0,1,1,1,4,1,4,9238,122.8,0,"A_yng_adults","B+"
"76","Graduate",18,3.21,3,3.1,0,1,1,38,9,19,5,9238,121.6,0,"A_yng_adults","B"
"77","Graduate",18,3.06,2.92,2.99,0,1,1,3,1,1,3,9773,149.2,0,"A_yng_adults","B-"
"78","Graduate",18,3.71,3.71,3.71,0,1,1,4,2,1,3,9500,140,0,"A_yng_adults","A-"
"79","Graduate",18,3.42,3.42,3.42,0,1,1,1,9,1,9,9500,127.8,1,"A_yng_adults","B+"
"80","Graduate",18,3.42,3.85,3.63,0,1,1,12,4,1,10,9500,139.8,0,"A_yng_adults","B+"
"81","Enrolled",18,3.45,3.44,3.45,0,1,1,19,5,19,6,9500,142.3,1,"A_yng_adults","B+"
"82","Enrolled",18,3.12,3.08,3.1,0,1,1,4,2,37,9,9070,113.9,0,"A_yng_adults","B"
"83","Graduate",18,2.92,2.92,2.92,0,1,1,19,191,19,144,9238,116,1,"A_yng_adults","B-"
"84","Graduate",18,3.54,3.42,3.48,0,1,1,19,9,38,8,9773,118.7,1,"A_yng_adults","B+"
"85","Graduate",18,2.89,3.08,2.99,0,1,1,1,3,1,3,9238,125.7,0,"A_yng_adults","B-"
"86","Graduate",18,3.21,3.21,3.21,0,1,1,19,5,38,7,9500,125.5,0,"A_yng_adults","B"
"87","Graduate",18,3.06,3.43,3.24,0,1,1,38,9,38,7,9670,127,0,"A_yng_adults","B"
"88","Graduate",18,3.78,4.04,3.91,0,1,1,19,4,19,9,9500,154.4,1,"A_yng_adults","A-"
"89","Dropout",18,3.12,2.56,2.84,0,1,1,19,5,19,5,9670,122,0,"A_yng_adults","B-"
"90","Graduate",18,2.97,3.65,3.31,0,1,1,1,5,19,5,9670,117.2,0,"A_yng_adults","B+"
"91","Graduate",18,2.8,2.95,2.88,0,1,1,19,4,19,8,9147,127.3,1,"A_yng_adults","B-"
"92","Graduate",18,4.05,4.1,4.07,0,1,1,1,4,38,3,9147,146.7,0,"A_yng_adults","A"
"93","Graduate",18,3.64,3.72,3.68,0,1,1,19,3,19,6,9500,124.3,1,"A_yng_adults","B+"
"94","Graduate",18,2.82,2.96,2.89,0,1,1,19,5,38,9,9238,130.2,1,"A_yng_adults","B-"
"95","Graduate",18,2.64,2.92,2.78,0,1,1,19,5,19,8,9254,117.5,0,"A_yng_adults","B-"
"96","Graduate",18,2.96,2.75,2.86,0,1,1,1,9,1,6,9238,130.9,0,"A_yng_adults","B-"
"97","Enrolled",18,3.15,2.85,3,0,1,1,2,4,19,4,9853,125,0,"A_yng_adults","B"
"98","Enrolled",18,3.5,2.9,3.2,0,1,1,19,9,38,5,9085,136.8,0,"A_yng_adults","B"
"99","Enrolled",18,3,3.17,3.08,0,1,1,1,9,38,6,9853,121.6,0,"A_yng_adults","B"
"100","Graduate",18,3.04,3.42,3.23,0,1,1,34,4,37,9,9238,134.4,1,"A_yng_adults","B"
"101","Graduate",18,3.35,3.35,3.35,0,1,1,38,7,38,7,9500,132.5,1,"A_yng_adults","B+"
"102","Graduate",18,2.81,3.12,2.96,0,1,1,2,3,9,5,9130,166.9,0,"A_yng_adults","B-"
"103","Dropout",18,0,0,0,0,1,1,3,2,3,2,171,178.3,0,"A_yng_adults","F"
"104","Graduate",18,3.38,3.12,3.25,0,1,1,19,7,19,5,9773,135.1,0,"A_yng_adults","B"
"105","Graduate",18,3.55,3.55,3.55,0,2,1,37,9,38,7,9500,134.5,1,"A_yng_adults","B+"
"106","Graduate",18,3.75,4.11,3.93,0,1,1,19,4,1,5,9085,127.1,0,"A_yng_adults","A-"
"107","Graduate",18,2.92,2.96,2.94,0,1,1,19,4,38,1,9853,128.5,0,"A_yng_adults","B-"
"108","Dropout",18,3.35,3.35,3.35,0,1,1,19,9,19,5,9500,124.8,0,"A_yng_adults","B+"
"109","Graduate",18,3.78,3.82,3.8,0,1,1,1,4,1,4,9500,141,1,"A_yng_adults","A-"
"110","Enrolled",18,3.07,3.33,3.2,0,1,1,3,3,3,3,9853,116.6,1,"A_yng_adults","B"
"111","Graduate",18,3.42,3.08,3.25,0,1,1,37,9,37,9,9853,145.3,0,"A_yng_adults","B"
"112","Dropout",18,3.25,2.85,3.05,0,1,1,30,7,37,7,9773,128.4,0,"A_yng_adults","B"
"113","Graduate",18,3.71,3.5,3.6,0,1,1,1,4,19,3,9085,158.7,0,"A_yng_adults","B+"
"114","Dropout",18,2.95,3.43,3.19,0,1,1,37,5,19,8,9670,114.2,0,"A_yng_adults","B"
"115","Enrolled",18,2.9,2.8,2.85,0,1,1,1,3,3,3,9070,128.9,1,"A_yng_adults","B-"
"116","Graduate",18,0,0,0,0,1,1,1,3,19,9,171,137.1,0,"A_yng_adults","F"
"117","Graduate",18,3.66,3.66,3.66,0,1,1,19,7,19,7,9500,120.8,1,"A_yng_adults","B+"
"118","Graduate",18,3.5,3.85,3.67,0,1,1,37,90,37,90,9085,137,0,"A_yng_adults","B+"
"119","Graduate",18,2.9,2.9,2.9,0,1,1,37,9,37,9,9500,126.3,1,"A_yng_adults","B-"
"120","Dropout",18,0,0,0,0,1,1,1,4,19,5,9500,127.5,0,"A_yng_adults","F"
"121","Graduate",18,3.02,3.02,3.02,0,1,1,37,9,38,9,9500,120.3,1,"A_yng_adults","B"
"122","Graduate",18,3.45,3.45,3.45,0,1,1,19,5,19,5,9500,130.3,1,"A_yng_adults","B+"
"123","Graduate",18,3.62,3.42,3.52,0,1,1,19,4,37,5,9670,118.8,1,"A_yng_adults","B+"
"124","Enrolled",18,0,4,2,0,1,1,3,3,4,2,9556,100,0,"A_yng_adults","C"
"125","Enrolled",18,3,3,3,0,1,1,19,4,38,5,9130,120.7,0,"A_yng_adults","B"
"126","Graduate",18,3.17,3.17,3.17,0,1,1,19,7,19,8,9500,120.3,1,"A_yng_adults","B"
"127","Graduate",18,2.75,2.75,2.75,0,1,1,19,1,19,1,9670,114.6,0,"A_yng_adults","B-"
"128","Dropout",18,3.23,3.52,3.38,0,1,1,1,7,19,7,9500,129.9,0,"A_yng_adults","B+"
"129","Graduate",18,3.35,3.35,3.35,0,1,1,37,9,37,8,9500,123,1,"A_yng_adults","B+"
"130","Graduate",18,3.53,3.5,3.51,0,1,1,19,7,19,5,9500,122.1,0,"A_yng_adults","B+"
"131","Graduate",18,3.12,3.33,3.22,0,1,1,37,5,37,7,9773,120.1,1,"A_yng_adults","B"
"132","Graduate",18,3.33,3.33,3.33,0,1,1,19,4,38,8,9500,141.3,1,"A_yng_adults","B+"
"133","Graduate",18,2.64,3.05,2.84,0,1,1,37,4,37,9,9238,117.1,1,"A_yng_adults","B-"
"134","Graduate",18,3,3.31,3.16,0,1,1,3,3,1,3,9500,113.2,0,"A_yng_adults","B"
"135","Graduate",18,3.58,3.58,3.58,0,1,1,1,1,19,1,9500,126.7,1,"A_yng_adults","B+"
"136","Graduate",18,3.17,3.05,3.11,0,1,1,1,7,37,9,9853,132.7,1,"A_yng_adults","B"
"137","Enrolled",18,2.67,3.21,2.94,0,1,1,3,2,1,5,9853,116.9,0,"A_yng_adults","B-"
"138","Graduate",18,2.95,3.05,3,0,1,1,1,4,19,3,9254,130.4,0,"A_yng_adults","B"
"139","Graduate",18,2.95,3.17,3.06,0,1,1,19,9,38,7,9070,118.7,0,"A_yng_adults","B"
"140","Graduate",18,3.19,3.19,3.19,0,1,1,38,7,38,7,9500,131.5,0,"A_yng_adults","B"
"141","Graduate",18,3.17,3.65,3.41,0,1,1,38,9,38,9,9254,129.1,0,"A_yng_adults","B+"
"142","Enrolled",18,3.05,2.71,2.88,0,1,1,1,4,1,4,9070,132,0,"A_yng_adults","B-"
"143","Graduate",18,2.93,2.93,2.93,0,1,1,37,7,1,7,9500,132.8,1,"A_yng_adults","B-"
"144","Graduate",18,3.17,3.42,3.3,0,1,1,19,9,1,3,9773,133.5,0,"A_yng_adults","B+"
"145","Dropout",18,3.25,3.5,3.38,0,1,1,5,2,5,2,9130,146.2,0,"A_yng_adults","B+"
"146","Enrolled",18,2.69,0,1.34,0,1,1,4,2,1,3,9070,120.7,0,"A_yng_adults","D+"
"147","Graduate",18,3.15,3.15,3.15,0,1,1,37,5,1,5,9500,126.8,1,"A_yng_adults","B"
"148","Graduate",18,3,3.15,3.08,0,1,1,3,2,19,9,9130,115.9,0,"A_yng_adults","B"
"149","Graduate",18,3,3.25,3.12,0,1,103,1,9,1,9,9085,132.2,1,"A_yng_adults","B"
"150","Dropout",18,3,0,1.5,0,1,103,5,1,3,1,9556,183.5,0,"A_yng_adults","D+"
"151","Dropout",18,3.41,2.94,3.17,1,1,1,3,2,3,2,9130,137.2,0,"A_yng_adults","B"
"152","Graduate",18,2.92,2.92,2.92,1,1,1,4,2,2,3,9500,127.3,0,"A_yng_adults","B-"
"153","Graduate",18,3.99,3.8,3.9,1,1,1,1,5,1,3,9500,144.9,1,"A_yng_adults","A-"
"154","Enrolled",18,3.3,3.15,3.22,1,1,1,19,9,1,10,9119,121.1,1,"A_yng_adults","B"
"155","Enrolled",18,3.37,3.37,3.37,1,1,1,37,9,37,9,9500,138,0,"A_yng_adults","B+"
"156","Graduate",18,0,0,0,1,1,1,37,9,37,9,171,144.2,0,"A_yng_adults","F"
"157","Graduate",18,3.38,3.3,3.34,1,1,1,19,9,38,9,9130,130.4,0,"A_yng_adults","B+"
"158","Dropout",18,2.92,2.83,2.88,1,1,1,34,0,36,5,9119,118.9,0,"A_yng_adults","B-"
"159","Graduate",18,3.13,3.15,3.14,0,1,1,12,5,1,5,9500,133,0,"A_yng_adults","B"
"160","Graduate",18,3,3.2,3.1,0,1,1,37,9,38,8,9147,133,0,"A_yng_adults","B"
"161","Graduate",18,3.75,3.8,3.78,0,1,1,1,3,19,3,9147,133.9,1,"A_yng_adults","A-"
"162","Graduate",18,3.21,3.07,3.14,0,1,1,38,9,38,8,9773,120.4,1,"A_yng_adults","B"
"163","Graduate",18,3.46,3.64,3.55,0,1,1,19,9,1,3,9670,117.8,0,"A_yng_adults","B+"
"164","Graduate",18,3.26,3.95,3.6,0,1,1,1,3,37,8,9500,128,1,"A_yng_adults","B+"
"165","Dropout",18,0,0,0,0,1,1,19,194,38,193,9085,117.6,0,"A_yng_adults","F"
"166","Enrolled",18,3,3,3,0,1,1,38,6,37,5,9500,124.3,1,"A_yng_adults","B"
"167","Graduate",18,3.46,3.46,3.46,0,1,1,1,9,37,9,9500,127.5,1,"A_yng_adults","B+"
"168","Graduate",18,3.43,3.43,3.43,0,1,1,38,7,37,5,9500,131,1,"A_yng_adults","B+"
"169","Graduate",18,3.25,3.54,3.4,0,1,1,1,5,38,6,9773,115.9,0,"A_yng_adults","B+"
"170","Graduate",18,3.38,3.5,3.44,0,1,1,37,9,37,7,9670,132.6,1,"A_yng_adults","B+"
"171","Graduate",18,3.16,3.16,3.16,0,1,1,37,9,37,9,9500,134.3,1,"A_yng_adults","B"
"172","Dropout",18,3.17,2.96,3.06,0,1,1,1,3,1,3,9773,129.8,1,"A_yng_adults","B"
"173","Enrolled",18,2.92,2.75,2.84,0,1,1,37,9,37,9,9147,116.5,0,"A_yng_adults","B-"
"174","Enrolled",18,2.62,3.08,2.85,0,1,1,37,4,38,9,9147,121,0,"A_yng_adults","B-"
"175","Enrolled",18,3.57,3.57,3.57,0,1,1,37,7,38,7,9500,133.8,0,"A_yng_adults","B+"
"176","Graduate",18,3.84,4.11,3.98,0,1,1,19,5,1,0,9238,144.4,0,"A_yng_adults","A-"
"177","Enrolled",18,2.65,2.5,2.58,0,1,1,37,5,19,10,9238,121,0,"A_yng_adults","C+"
"178","Graduate",18,3.14,3.42,3.28,0,1,1,1,4,19,1,9773,115.8,0,"A_yng_adults","B"
"179","Graduate",18,3,3.31,3.16,0,1,1,37,0,37,0,9670,136.5,0,"A_yng_adults","B"
"180","Dropout",18,3.05,2.94,3,0,1,1,37,5,38,5,9773,129.5,0,"A_yng_adults","B"
"181","Graduate",18,3.04,3.38,3.21,0,1,1,38,5,38,8,9254,110.8,0,"A_yng_adults","B"
"182","Graduate",18,3.5,3.75,3.62,0,1,1,1,5,19,7,9070,155.5,0,"A_yng_adults","B+"
"183","Enrolled",18,2.96,3,2.98,0,1,1,37,7,19,7,9853,126.7,0,"A_yng_adults","B-"
"184","Graduate",18,2.96,3.12,3.04,1,1,1,38,9,19,8,9500,128.8,0,"A_yng_adults","B"
"185","Dropout",18,3.33,3.38,3.36,1,1,1,3,5,1,5,9147,152.1,0,"A_yng_adults","B+"
"186","Graduate",18,3.28,3.28,3.28,1,1,1,3,2,3,2,9500,129,0,"A_yng_adults","B"
"187","Enrolled",18,3.45,3.1,3.28,1,1,1,38,8,1,10,9670,138.5,0,"A_yng_adults","B"
"188","Enrolled",18,3.44,2.8,3.12,1,1,1,3,2,2,2,9670,133.3,0,"A_yng_adults","B"
"189","Dropout",18,3.04,3,3.02,1,1,1,19,9,37,9,9773,118.3,1,"A_yng_adults","B"
"190","Dropout",18,0,0,0,1,1,1,19,9,19,7,9070,113.9,0,"A_yng_adults","F"
"191","Dropout",18,3.55,3.1,3.33,1,1,1,3,3,3,3,9500,132.9,0,"A_yng_adults","B+"
"192","Graduate",18,3.37,3.49,3.43,0,1,1,1,5,1,3,9500,128.4,0,"A_yng_adults","B+"
"193","Dropout",18,2.81,3.08,2.95,1,1,41,1,9,1,5,9670,128.2,0,"A_yng_adults","B-"
"194","Dropout",18,0,0,0,0,1,1,1,5,19,5,9773,119,0,"A_yng_adults","F"
"195","Graduate",18,3.08,3.04,3.06,0,1,1,38,4,1,10,9238,129.4,0,"A_yng_adults","B"
"196","Graduate",18,3.12,3.46,3.29,0,1,1,1,5,19,5,9773,117.4,1,"A_yng_adults","B"
"197","Graduate",18,3.75,3.88,3.82,0,1,1,38,7,38,7,9773,137.8,1,"A_yng_adults","A-"
"198","Graduate",18,3.67,3.66,3.66,0,1,1,19,3,37,8,9500,156.9,1,"A_yng_adults","B+"
"199","Enrolled",18,3.34,3.34,3.34,0,1,1,3,1,3,3,9500,129,0,"A_yng_adults","B+"
"200","Graduate",18,3.42,3.5,3.46,0,1,1,3,1,3,2,9070,146.7,0,"A_yng_adults","B+"
"201","Graduate",18,3.63,3.63,3.63,0,1,1,3,4,1,5,9500,132.8,0,"A_yng_adults","B+"
"202","Dropout",18,3.6,3.5,3.55,0,1,1,37,0,37,90,9085,159.1,1,"A_yng_adults","B+"
"203","Graduate",18,3,3.4,3.2,0,1,1,3,2,1,5,9238,110,0,"A_yng_adults","B"
"204","Graduate",18,3.29,3.04,3.16,0,1,1,19,3,19,3,9773,116.1,1,"A_yng_adults","B"
"205","Graduate",18,3.71,3.54,3.62,0,1,1,38,5,38,8,9773,133.3,1,"A_yng_adults","B+"
"206","Graduate",18,3.27,3.24,3.26,0,1,1,1,4,1,8,9500,133.6,0,"A_yng_adults","B"
"207","Enrolled",18,3.04,3.19,3.12,0,1,1,3,3,1,7,9853,137.2,0,"A_yng_adults","B"
"208","Dropout",18,0,0,0,0,1,1,19,9,1,8,9238,110,0,"A_yng_adults","F"
"209","Graduate",18,3.88,3.5,3.69,0,1,1,38,9,38,9,9773,128.4,0,"A_yng_adults","B+"
"210","Graduate",18,3.25,3.04,3.14,0,1,1,1,3,38,5,9070,146.9,1,"A_yng_adults","B"
"211","Graduate",18,3.04,3.42,3.23,0,1,1,19,5,38,7,9853,107.1,1,"A_yng_adults","B"
"212","Graduate",18,3.54,3.41,3.48,0,1,1,19,9,38,9,9500,129.2,1,"A_yng_adults","B+"
"213","Graduate",18,3.61,3.54,3.58,0,1,1,3,3,4,3,9500,154.1,0,"A_yng_adults","B+"
"214","Graduate",18,3.93,3.75,3.84,0,1,1,19,4,3,4,9853,147.2,0,"A_yng_adults","A-"
"215","Graduate",18,3.62,3.21,3.42,0,1,1,1,4,1,4,9070,120.8,0,"A_yng_adults","B+"
"216","Graduate",18,3,2.9,2.95,0,1,1,19,9,19,9,9147,127,1,"A_yng_adults","B-"
"217","Graduate",18,3.5,3.5,3.5,0,1,1,1,4,3,3,9670,117.3,0,"A_yng_adults","B+"
"218","Dropout",18,2.89,3.29,3.09,0,1,1,1,5,1,7,9853,121.4,0,"A_yng_adults","B"
"219","Graduate",18,3.96,3.83,3.9,0,1,1,1,9,3,7,9070,126.1,1,"A_yng_adults","A-"
"220","Graduate",18,3.56,3.56,3.56,0,1,1,19,4,19,5,9500,137,0,"A_yng_adults","B+"
"221","Enrolled",18,3,2.75,2.88,1,1,1,3,3,1,4,9119,121.8,0,"A_yng_adults","B-"
"222","Graduate",18,3.5,3.5,3.5,0,1,1,37,9,38,5,9500,134.8,0,"A_yng_adults","B+"
"223","Graduate",18,2.85,2.7,2.78,0,1,1,38,9,34,9,9238,133.6,0,"A_yng_adults","B-"
"224","Enrolled",18,3.56,3.18,3.37,0,1,1,1,2,1,5,9085,113.3,0,"A_yng_adults","B+"
"225","Enrolled",18,0,0,0,1,1,1,19,5,19,5,9119,120.4,0,"A_yng_adults","F"
"226","Dropout",18,3.15,3.31,3.23,1,1,1,1,5,2,4,9119,122.7,0,"A_yng_adults","B"
"227","Graduate",18,3.67,3.76,3.71,1,1,1,1,4,1,10,9500,125.2,1,"A_yng_adults","A-"
"228","Graduate",18,0,0,0,1,1,1,19,9,1,7,171,143.1,0,"A_yng_adults","F"
"229","Graduate",18,3.75,3.62,3.68,1,1,1,1,194,19,194,9003,143.5,0,"A_yng_adults","B+"
"230","Graduate",18,3.5,3.67,3.58,0,1,1,1,9,19,9,9773,151.3,0,"A_yng_adults","B+"
"231","Graduate",18,3.12,3.25,3.18,0,1,1,37,5,37,5,9773,125.3,0,"A_yng_adults","B"
"232","Graduate",18,3.24,3.24,3.24,0,1,1,37,9,1,4,9500,138.8,1,"A_yng_adults","B"
"233","Graduate",18,3.29,3.33,3.31,0,1,1,37,9,37,5,9853,146.8,0,"A_yng_adults","B+"
"234","Dropout",18,2.94,3.06,3,0,1,1,1,4,3,2,9238,131.7,0,"A_yng_adults","B"
"235","Enrolled",18,2.75,3.12,2.94,0,1,1,37,7,38,7,9147,122.2,0,"A_yng_adults","B-"
"236","Enrolled",18,3.17,3.06,3.12,0,1,1,19,4,38,10,9773,131.7,0,"A_yng_adults","B"
"237","Graduate",18,3.82,4.02,3.92,0,1,1,37,9,37,7,9556,122.7,1,"A_yng_adults","A-"
"238","Graduate",18,3.29,3.17,3.23,0,1,1,37,7,37,7,9254,113.9,0,"A_yng_adults","B"
"239","Graduate",18,3.42,3.3,3.36,1,1,1,3,2,1,4,9130,126,0,"A_yng_adults","B+"
"240","Enrolled",18,2.92,3.12,3.02,1,1,1,38,5,38,5,9119,141,0,"A_yng_adults","B"
"241","Graduate",18,2.92,2.55,2.73,1,1,1,1,3,3,7,9773,113,1,"A_yng_adults","B-"
"242","Enrolled",18,3,2.58,2.79,1,1,1,1,9,19,3,9119,116.9,0,"A_yng_adults","B-"
