"","Marital.status","App.Mode","App.Order","Course","Daytime.evening.attendance","Prev.Qual","Prev.Qual.Grade","Nationality","Mother.Quals","Father.Quals","Mother.Occupation","Father.Occupation","Admission.Grade","Displaced","Ed.Special.Needs","Debtor","Fees.Updated","Gender","Scholarship","Age.at.enrollment","International","Curricular.units.1st.sem..credited.","Curricular.units.1st.sem..enrolled.","Curricular.units.1st.sem..evaluations.","Curricular.units.1st.sem..approved.","Curricular.units.1st.sem..grade.","Curricular.units.1st.sem..without.evaluations.","Curricular.units.2nd.sem..credited.","Curricular.units.2nd.sem..enrolled.","Curricular.units.2nd.sem..evaluations.","Curricular.units.2nd.sem..approved.","Curricular.units.2nd.sem..grade.","Curricular.units.2nd.sem..without.evaluations.","Unemployment.rate","Inflation.rate","GDP","Target"
"31","single",44,1,"agr","evening",39,150,"pt",4,5,"4","2",150,"no","no","no","yes","male","no",21,"no",0,6,15,5,11.8571428571429,0,0,6,17,5,10.5714285714286,0,16.2,0.3,-0.92,"Enrolled"
"32","single",51,1,"cd","evening",1,125,"pt",42,3,"125","124",130,"yes","no","no","yes","male","no",20,"no",2,6,7,6,12.8333333333333,0,0,6,9,4,13.4,0,8.9,1.4,3.51,"Graduate"
"33","single",1,1,"mngmt","evening",1,143,"pt",1,1,"4","6",138.8,"no","no","no","no","male","no",18,"no",0,5,9,3,11.3333333333333,0,0,5,8,2,13.5,0,8.9,1.4,3.51,"Enrolled"
"34","single",18,1,"ssea","daytime",1,138,"pt",19,1,"9","5",134.5,"yes","no","no","yes","female","no",19,"no",0,6,6,6,12.6666666666667,0,0,6,8,6,14.375,0,12.4,0.5,1.79,"Graduate"
"35","single",1,1,"mngmtea","daytime",1,130,"pt",2,37,"3","9",131.4,"no","no","no","yes","male","no",34,"no",0,5,6,5,12.4,0,0,5,9,5,13.4285714285714,0,13.9,-0.3,0.79,"Graduate"
"36","single",39,1,"bpt","evening",1,130,"pt",38,37,"9","6",102.5,"no","no","yes","no","male","no",37,"no",0,7,7,0,0,0,0,7,7,1,10,0,8.9,1.4,3.51,"Dropout"
"37","single",39,1,"ie","evening",10,133.1,"pt",34,37,"0","0",128.8,"yes","no","no","yes","male","no",43,"no",0,5,0,0,0,0,0,5,0,0,0,0,7.6,2.6,0.32,"Dropout"
"38","single",43,1,"mngmt","evening",1,140,"pt",37,37,"6","6",122.9,"no","no","no","yes","female","no",55,"no",0,5,10,1,10,0,0,5,8,2,12,2,16.2,0.3,-0.92,"Dropout"
"39","divorced",39,1,"mngmtea","daytime",1,120,"pt",19,19,"9","3",113.9,"yes","no","no","yes","female","no",39,"no",0,5,8,5,11,0,0,5,5,5,11.6,0,7.6,2.6,0.32,"Graduate"
"40","single",44,1,"equi","evening",39,120,"sp",4,4,"3","6",120,"no","no","yes","no","female","no",20,"yes",2,6,13,3,11.6666666666667,0,1,6,11,3,12,0,12.4,0.5,1.79,"Dropout"
"41","single",1,5,"jc","evening",1,126,"pt",3,3,"2","2",121.1,"no","no","yes","yes","female","no",18,"no",0,6,6,4,12.75,0,0,5,5,0,0,0,12.7,3.7,-1.7,"Dropout"
"42","single",1,2,"mngmt","evening",1,133,"pt",3,19,"2","7",120.4,"yes","no","no","yes","female","no",22,"no",0,5,5,5,14.8,0,0,5,5,5,15.8,0,8.9,1.4,3.51,"Graduate"
"43","single",1,6,"nurs","evening",1,103,"pt",1,3,"2","2",100.6,"yes","yes","no","yes","female","no",22,"no",0,7,9,5,13.928,0,0,8,9,7,14.3428571428571,0,11.1,0.6,2.02,"Graduate"
"44","single",17,1,"jc","evening",1,120,"pt",1,38,"5","5",121.4,"no","no","no","no","female","no",20,"no",0,6,7,4,13,0,0,6,7,5,13.8,0,12.4,0.5,1.79,"Dropout"
"45","single",39,1,"mngmtea","daytime",1,133.1,"pt",37,37,"9","9",109.7,"no","no","no","yes","female","no",29,"no",0,5,0,0,0,0,0,5,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"46","single",17,1,"mngmtea","daytime",1,154,"pt",38,38,"4","5",134.1,"no","no","no","yes","female","no",24,"no",0,5,9,2,11.5,0,0,5,11,3,14.3333333333333,1,7.6,2.6,0.32,"Enrolled"
"47","single",17,2,"ss","evening",1,130,"pt",19,19,"9","9",127.6,"yes","no","no","yes","female","no",18,"no",0,6,6,6,11.6666666666667,0,0,6,8,5,13.2,0,11.1,0.6,2.02,"Graduate"
"48","single",17,6,"nurs","evening",1,132,"pt",37,19,"7","7",132.4,"yes","no","no","yes","female","yes",22,"no",0,7,8,6,13.5166666666667,0,0,8,9,7,13.7714285714286,0,11.1,0.6,2.02,"Graduate"
"49","single",44,1,"ssea","daytime",39,130,"pt",1,19,"9","9",133.4,"no","no","no","yes","female","yes",21,"no",3,6,6,6,11.5,0,2,6,7,6,13.2857142857143,0,12.4,0.5,1.79,"Graduate"
"50","single",1,1,"ss","evening",1,139,"pt",37,38,"9","9",126.1,"no","no","no","yes","female","yes",19,"no",0,6,7,5,12.3333333333333,0,0,6,7,6,12.8333333333333,0,12.7,3.7,-1.7,"Graduate"
"51","single",39,1,"tour","evening",1,130,"pt",19,38,"9","7",113.5,"no","no","no","yes","female","yes",24,"no",0,6,6,6,13.6666666666667,0,0,6,6,6,14.1666666666667,0,12.4,0.5,1.79,"Graduate"
"52","single",1,1,"nurs","evening",1,139,"pt",37,38,"6","6",121.3,"yes","no","no","yes","female","yes",19,"no",0,8,10,6,11.8333333333333,0,0,8,10,6,11.8333333333333,0,9.4,-0.8,-3.12,"Enrolled"
"53","single",1,1,"jc","evening",1,127,"pt",1,19,"7","7",121.8,"yes","no","no","yes","female","yes",20,"no",0,6,11,4,14,0,0,6,12,3,11,0,9.4,-0.8,-3.12,"Enrolled"
"54","single",1,3,"equi","evening",1,167,"pt",37,37,"90","90",159.3,"no","no","no","yes","female","no",19,"no",0,5,7,5,14.7142857142857,0,0,5,5,5,15.8,0,7.6,2.6,0.32,"Graduate"
"55","single",39,1,"mngmtea","daytime",1,130,"pt",38,38,"9","9",120,"no","no","no","yes","female","no",27,"no",0,5,12,5,10.6,0,0,5,10,5,11,0,9.4,-0.8,-3.12,"Dropout"
"56","single",1,1,"nurs","evening",1,130,"pt",1,19,"5","5",129.1,"yes","no","no","yes","female","no",18,"no",0,7,9,7,13.0444444444444,0,0,8,10,8,13.595,0,15.5,2.8,-4.06,"Graduate"
"57","married",7,1,"tour","evening",3,130,"pt",1,3,"4","3",130,"no","no","no","yes","female","no",39,"no",0,6,10,0,0,0,0,6,6,0,0,0,12.4,0.5,1.79,"Dropout"
"58","single",39,1,"equi","evening",40,129,"pt",3,3,"2","2",155.3,"yes","no","no","yes","female","no",27,"no",0,6,9,5,13,0,5,11,13,10,12.9,0,12.4,0.5,1.79,"Dropout"
"59","single",17,1,"nurs","evening",1,141,"pt",38,38,"7","10",139.8,"yes","no","no","yes","female","no",18,"no",0,8,8,8,14.935,0,0,8,8,8,14.935,0,9.4,-0.8,-3.12,"Graduate"
"60","single",1,3,"amd","evening",1,125,"pt",38,37,"4","9",115.2,"yes","no","no","yes","female","no",18,"no",0,0,0,0,0,0,0,0,0,0,0,0,7.6,2.6,0.32,"Enrolled"
"61","single",1,2,"nurs","evening",1,125,"pt",19,19,"9","9",114.9,"no","no","no","yes","female","no",18,"no",0,7,8,6,13.1333333333333,0,0,8,12,7,12.2214285714286,0,16.2,0.3,-0.92,"Graduate"
"62","single",44,1,"ss","evening",39,130,"pt",19,1,"9","9",131.9,"no","no","no","yes","female","yes",21,"no",3,6,7,6,12,0,2,6,7,6,12,0,13.9,-0.3,0.79,"Graduate"
"63","single",17,3,"amd","evening",1,133,"pt",1,37,"4","7",126,"yes","no","no","yes","male","yes",19,"no",0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Enrolled"
"64","single",17,1,"cd","evening",1,127,"pt",1,1,"3","4",130.2,"yes","no","no","yes","male","no",19,"no",0,6,6,5,11.4,0,0,6,8,1,10,0,10.8,1.4,1.74,"Enrolled"
"65","single",43,1,"cd","evening",1,116,"pt",1,1,"3","3",120.9,"no","no","no","yes","male","no",24,"no",0,6,6,0,0,0,0,6,6,0,0,0,12.7,3.7,-1.7,"Enrolled"
"66","divorced",42,1,"nurs","evening",19,133.1,"pt",1,1,"5","5",126,"yes","no","no","yes","male","no",29,"no",2,7,10,5,11.9,0,1,8,10,5,11,0,13.9,-0.3,0.79,"Dropout"
"67","single",1,3,"amd","evening",1,139,"pt",19,19,"5","3",128.2,"yes","no","no","yes","male","yes",19,"no",0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Graduate"
"68","single",44,1,"agr","evening",39,130,"pt",19,37,"9","9",130,"yes","no","no","yes","male","no",23,"no",0,6,8,6,12.5714285714286,0,0,6,7,6,12.4285714285714,0,8.9,1.4,3.51,"Graduate"
"69","single",1,3,"mngmt","evening",1,125,"pt",1,38,"7","7",120.1,"no","no","yes","yes","male","no",19,"no",0,5,8,5,11.2,0,0,5,10,4,10.75,3,16.2,0.3,-0.92,"Dropout"
"70","single",39,1,"tour","evening",1,160,"pt",19,37,"7","10",100,"no","no","no","yes","male","no",26,"no",0,6,7,6,12,0,0,6,8,5,10.8,0,12.7,3.7,-1.7,"Enrolled"
"71","single",17,1,"mngmt","evening",1,148,"pt",38,37,"5","5",134,"no","no","no","yes","male","no",18,"no",0,5,9,0,0,0,0,5,5,0,0,0,7.6,2.6,0.32,"Enrolled"
"72","single",17,1,"nurs","evening",1,150,"pt",37,19,"8","4",130.8,"no","no","no","yes","male","no",24,"no",0,7,8,7,11.975,0,0,8,8,8,13.75,0,13.9,-0.3,0.79,"Graduate"
"73","single",1,1,"amd","evening",1,141,"pt",19,19,"5","10",135.8,"yes","no","no","yes","male","no",19,"no",0,0,0,0,0,0,0,0,0,0,0,0,15.5,2.8,-4.06,"Dropout"
"74","single",17,4,"tour","evening",1,118,"pt",38,37,"5","7",111.7,"yes","no","no","yes","male","no",18,"no",0,6,12,3,11.6666666666667,0,0,6,12,1,12,0,12.4,0.5,1.79,"Dropout"
"75","single",1,2,"jc","evening",1,142,"pt",38,38,"9","9",132.9,"yes","no","no","yes","male","no",18,"no",0,6,8,6,12.3333333333333,0,0,6,11,3,12.3333333333333,0,10.8,1.4,1.74,"Graduate"
"76","single",17,3,"mngmt","evening",1,120,"pt",19,19,"4","7",115.5,"yes","no","yes","yes","male","no",18,"no",0,5,8,3,10.3333333333333,0,0,5,11,3,10.8571428571429,0,10.8,1.4,1.74,"Dropout"
"77","single",18,4,"tour","evening",1,106,"pt",19,37,"7","7",106,"yes","no","no","yes","male","yes",21,"no",0,6,8,4,10.5,0,0,6,11,1,11,0,9.4,-0.8,-3.12,"Dropout"
"78","single",17,4,"jc","evening",1,121,"pt",1,19,"9","8",120.3,"yes","no","yes","yes","male","yes",19,"no",0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Graduate"
"79","single",17,4,"nurs","evening",1,150,"pt",38,37,"9","9",130.8,"no","no","no","yes","male","yes",22,"no",0,7,7,7,14.8428571428571,0,0,8,9,8,15.0555555555556,0,16.2,0.3,-0.92,"Graduate"
"80","married",39,1,"ssea","daytime",1,120,"pt",37,37,"9","6",117,"no","no","no","yes","male","no",33,"no",0,6,8,6,12,0,0,6,6,6,11.6666666666667,0,10.8,1.4,1.74,"Graduate"
"81","single",1,6,"be","evening",1,114,"pt",19,19,"9","9",110.2,"yes","no","no","yes","male","no",20,"no",0,6,8,5,12.2,0,0,6,7,5,12.2,0,10.8,1.4,1.74,"Dropout"
"82","single",39,1,"mngmtea","daytime",2,140,"pt",3,3,"2","2",155.7,"yes","no","no","yes","male","no",35,"no",0,1,1,0,0,1,0,5,0,0,0,0,10.8,1.4,1.74,"Dropout"
"83","single",39,1,"agr","evening",4,160,"pt",3,3,"4","2",180.4,"no","no","yes","yes","male","no",24,"no",6,12,17,6,12.1666666666667,0,7,12,14,10,13.3,0,12.4,0.5,1.79,"Dropout"
"84","single",17,1,"tour","evening",1,120,"pt",19,19,"4","4",125.5,"no","no","no","yes","male","no",18,"no",0,5,6,5,12,0,0,5,8,3,11.3333333333333,0,12.7,3.7,-1.7,"Enrolled"
"85","married",39,1,"ssea","daytime",1,130,"pt",37,37,"9","6",110,"yes","no","no","yes","female","no",33,"no",0,6,7,6,11,0,0,6,11,5,11,0,9.4,-0.8,-3.12,"Graduate"
"86","single",42,1,"nurs","evening",1,160,"pt",37,38,"9","7",161,"yes","no","no","yes","female","yes",22,"no",0,8,8,7,13.08,0,0,8,8,7,13.08,0,10.8,1.4,1.74,"Graduate"
"87","single",39,1,"amm","evening",1,120,"pt",1,19,"4","5",100,"no","no","no","yes","female","yes",25,"no",0,5,7,4,10.5,0,0,5,7,5,11.6,0,9.4,-0.8,-3.12,"Graduate"
"88","single",17,1,"cd","evening",1,124,"pt",19,38,"4","0",117.6,"yes","no","no","yes","male","no",20,"no",0,6,9,6,10.6666666666667,1,0,6,6,5,11.2,0,7.6,2.6,0.32,"Graduate"
"89","single",1,6,"mngmt","evening",1,143,"pt",38,37,"9","9",128.7,"yes","no","no","yes","male","no",23,"no",0,5,6,4,14,0,0,5,5,5,13.8,0,11.1,0.6,2.02,"Enrolled"
"90","single",43,2,"ie","evening",1,115,"pt",38,19,"9","6",112.2,"yes","no","yes","yes","male","no",18,"no",0,5,9,2,10,0,0,5,9,0,0,0,15.5,2.8,-4.06,"Enrolled"
"91","single",39,1,"nurs","evening",1,133.1,"pt",1,1,"4","10",100.8,"no","no","no","yes","male","no",24,"no",0,7,18,0,0,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"92","single",17,2,"jc","evening",1,133.1,"br",19,1,"9","9",105,"yes","no","no","no","female","no",21,"yes",0,6,6,6,14,0,0,6,6,6,13.5,0,8.9,1.4,3.51,"Graduate"
"93","single",15,1,"equi","evening",1,133.1,"br",1,1,"4","4",100,"no","no","no","yes","female","no",26,"yes",0,6,7,2,12,1,0,6,6,0,0,0,8.9,1.4,3.51,"Dropout"
"94","married",39,1,"be","evening",10,133.1,"pt",37,34,"0","0",115.5,"no","no","no","yes","female","no",39,"no",0,6,12,3,12.6666666666667,0,0,6,14,0,0,1,7.6,2.6,0.32,"Dropout"
"95","married",39,1,"ssea","daytime",1,133.1,"pt",37,19,"9","9",114,"no","no","no","yes","female","no",44,"no",2,8,11,8,11.875,0,0,6,7,6,12.3333333333333,0,12.7,3.7,-1.7,"Graduate"
"96","single",15,1,"ie","evening",1,130,"sm",38,3,"9","2",137,"yes","no","no","yes","male","no",19,"yes",0,5,9,5,14,0,0,5,11,3,13.25,0,13.9,-0.3,0.79,"Enrolled"
"97","single",1,5,"jc","evening",1,135,"pt",37,1,"5","5",124.9,"yes","no","no","yes","female","no",18,"no",0,6,6,6,13.6666666666667,0,0,6,6,6,13.3333333333333,0,8.9,1.4,3.51,"Graduate"
"98","single",1,5,"nurs","evening",1,132,"pt",37,37,"7","7",120.3,"yes","no","no","yes","female","yes",18,"no",0,7,7,7,13.75,0,0,8,9,8,14.4777777777778,0,12.4,0.5,1.79,"Graduate"
"99","single",1,1,"vn","evening",1,135,"pt",1,2,"9","1",134.3,"yes","no","no","yes","female","no",19,"no",0,5,7,5,14.2,2,0,5,7,5,13.8,0,12.7,3.7,-1.7,"Enrolled"
"100","single",1,4,"nurs","evening",1,115,"pt",3,3,"2","2",111.5,"yes","no","yes","no","female","no",19,"no",0,7,10,4,11.96,0,0,7,7,0,0,0,13.9,-0.3,0.79,"Dropout"
"101","single",53,1,"vn","evening",42,130,"pt",38,38,"9","9",128.8,"no","no","no","yes","female","no",21,"no",7,10,12,8,12.875,0,4,9,14,5,13.4,0,8.9,1.4,3.51,"Dropout"
"102","single",1,4,"amd","evening",1,133.1,"pt",1,1,"9","10",110,"yes","no","no","yes","female","no",20,"no",0,0,0,0,0,0,0,0,0,0,0,0,16.2,0.3,-0.92,"Graduate"
"103","married",39,1,"ssea","daytime",1,130,"pt",37,37,"6","5",113.5,"yes","no","no","yes","female","no",36,"no",0,6,0,0,0,0,0,6,0,0,0,0,9.4,-0.8,-3.12,"Dropout"
"104","divorced",39,1,"agr","evening",12,133.1,"pt",37,37,"9","6",160,"no","no","no","yes","female","no",43,"no",13,18,19,18,14.6315789473684,0,10,13,14,13,14.2307692307692,1,15.5,2.8,-4.06,"Graduate"
"105","single",18,1,"be","evening",1,123,"pt",19,19,"9","7",117.4,"yes","no","no","yes","female","no",19,"no",0,6,0,0,0,0,0,6,0,0,0,0,11.1,0.6,2.02,"Dropout"
"106","single",51,1,"cd","evening",1,130,"pt",3,1,"2","8",122.2,"no","no","yes","yes","female","no",20,"no",4,10,12,10,13,0,5,11,11,11,12.2727272727273,0,11.1,0.6,2.02,"Graduate"
"107","single",1,2,"ss","evening",1,122,"pt",37,38,"4","7",118.2,"yes","no","no","yes","female","no",19,"no",0,6,0,0,0,0,0,6,0,0,0,0,16.2,0.3,-0.92,"Dropout"
"108","single",1,1,"vn","evening",1,113,"pt",1,1,"4","4",106.7,"yes","no","no","yes","female","no",20,"no",0,6,15,4,14.2,0,0,6,17,4,13.25,0,15.5,2.8,-4.06,"Dropout"
"109","single",1,5,"nurs","evening",1,111,"pt",3,4,"4","3",108.2,"yes","no","no","yes","female","no",20,"no",2,7,9,6,13.2666666666667,0,0,7,10,5,12.3,0,12.4,0.5,1.79,"Dropout"
"110","single",17,2,"be","evening",1,133.1,"pt",19,1,"9","3",107,"yes","no","no","yes","female","no",20,"no",0,7,12,6,11.6666666666667,0,0,7,10,3,13,0,16.2,0.3,-0.92,"Enrolled"
"111","single",1,1,"ss","evening",1,142,"pt",37,37,"6","7",136.1,"yes","no","no","yes","female","no",18,"no",0,6,8,6,13.8571428571429,0,0,6,6,6,15,0,13.9,-0.3,0.79,"Graduate"
"112","single",17,2,"mngmt","evening",1,123,"pt",1,38,"4","7",115.3,"yes","no","no","yes","female","yes",18,"no",0,5,9,3,13,0,0,5,11,3,11,0,8.9,1.4,3.51,"Enrolled"
"113","single",1,1,"vn","evening",1,131,"pt",19,19,"9","9",139.8,"yes","no","no","yes","female","no",19,"no",0,5,6,5,13.4,0,0,5,5,5,12.8,0,10.8,1.4,1.74,"Graduate"
"114","single",1,3,"jc","evening",1,158,"pt",1,38,"4","7",157,"yes","no","no","yes","female","no",18,"no",0,6,6,6,12.6666666666667,0,0,6,7,6,12.5714285714286,0,10.8,1.4,1.74,"Graduate"
"115","single",17,2,"nurs","evening",1,122,"pt",37,37,"9","9",131,"yes","no","no","yes","female","no",18,"no",0,7,7,6,12.5166666666667,1,0,7,7,6,12.5166666666667,1,7.6,2.6,0.32,"Dropout"
"116","single",43,1,"nurs","evening",1,130,"pt",38,38,"9","5",100,"no","no","no","yes","female","no",20,"no",0,7,11,6,11.6166666666667,0,0,7,7,7,13,0,13.9,-0.3,0.79,"Enrolled"
"117","single",17,1,"ss","evening",1,154,"pt",19,37,"9","7",140.4,"yes","no","no","yes","female","yes",20,"no",0,6,13,2,10,0,0,6,12,4,10.75,0,7.6,2.6,0.32,"Enrolled"
"118","single",17,1,"mngmt","evening",1,120,"pt",19,19,"3","3",113.4,"no","no","no","yes","female","no",20,"no",0,5,11,3,10.3333333333333,0,0,5,10,3,10.6666666666667,0,12.4,0.5,1.79,"Enrolled"
"119","single",1,2,"vn","evening",1,140,"pt",37,38,"9","7",137,"no","no","no","yes","female","no",18,"no",0,5,12,5,13.1428571428571,2,0,5,6,5,11.4,0,9.4,-0.8,-3.12,"Graduate"
"120","single",1,1,"mngmt","evening",1,127,"pt",2,19,"4","5",121.8,"no","no","no","yes","female","no",18,"no",0,5,5,5,12.6,0,0,5,5,5,14,0,11.1,0.6,2.02,"Graduate"
"121","single",17,1,"tour","evening",1,133.1,"pt",1,1,"4","5",131,"yes","no","no","yes","female","no",21,"no",0,6,12,3,11,0,0,6,12,2,11,0,9.4,-0.8,-3.12,"Dropout"
"122","single",1,2,"mngmt","evening",1,120,"pt",19,19,"9","7",118.6,"yes","no","no","yes","female","no",19,"no",0,5,8,5,10.8,0,0,5,9,4,11.25,2,16.2,0.3,-0.92,"Graduate"
"123","single",1,1,"amd","evening",1,137,"pt",3,19,"2","9",122.3,"no","no","no","yes","female","no",19,"no",0,0,0,0,0,0,0,0,0,0,0,0,10.8,1.4,1.74,"Dropout"
"124","single",1,1,"amm","evening",1,131,"pt",38,38,"9","9",127.9,"no","no","no","yes","female","yes",19,"no",0,5,5,5,12.8,0,0,5,5,5,14.2,0,9.4,-0.8,-3.12,"Graduate"
